playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8479406,2025,Filip Gustavsson,MIN,G,5on5,1,2724.0,0.93,2.0,33.0,0.85,0.0,3.74,3.0,14.26,13.0,0.69,0.0,8.2,7.0,5.83,8.0,0.93,17.0,2.0,1.0,0.49,0.22,0.22,2.0,0.0,0.0,13.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,4on5,1,464.0,1.73,2.0,16.0,0.92,2.0,1.93,0.0,9.93,8.0,0.05,0.0,5.62,5.0,2.48,4.0,1.57,3.0,8.0,2.0,0.19,0.95,0.59,0.0,2.0,0.0,3.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,5on4,1,240.0,0.07,0.0,1.0,0.05,0.0,0.1,0.0,0.77,1.0,0.49,0.0,0.28,0.0,0.48,1.0,0.07,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,other,7,1023.0,0.89,0.0,15.0,0.49,0.0,1.76,1.0,8.11,4.0,0.24,0.0,4.41,5.0,3.19,4.0,0.86,6.0,5.0,0.0,0.26,0.63,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,all,7,26385.0,18.93,16.0,353.0,12.34,16.0,42.81,30.0,182.4,156.0,7.62,1.0,96.42,80.0,70.37,104.0,18.16,173.0,53.0,21.0,5.35,6.57,7.0,5.0,4.0,7.0,106.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,5on5,7,19949.0,10.56,11.0,259.0,7.92,11.0,32.52,19.0,130.55,111.0,5.52,0.0,68.83,57.0,52.82,79.0,10.4,134.0,35.0,8.0,4.06,4.37,2.13,5.0,4.0,2.0,82.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,4on5,7,2639.0,6.47,5.0,70.0,3.49,4.0,7.53,10.0,38.15,35.0,0.0,0.0,21.19,17.0,11.02,15.0,6.01,28.0,12.0,11.0,0.81,1.46,4.2,0.0,0.0,5.0,19.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,5on4,7,2774.0,1.01,0.0,9.0,0.43,1.0,0.99,0.0,5.59,6.0,1.86,1.0,2.0,1.0,3.34,6.0,0.89,5.0,1.0,2.0,0.23,0.11,0.67,0.0,0.0,0.0,1.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,other,9,865.0,1.53,0.0,26.0,1.05,0.0,3.57,2.0,16.73,14.0,0.18,0.0,9.82,10.0,5.44,10.0,1.43,16.0,5.0,1.0,0.76,0.55,0.21,0.0,0.0,0.0,4.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,all,9,27192.0,19.96,17.0,419.0,14.78,16.0,52.87,35.0,221.96,205.0,8.38,1.0,119.72,120.0,86.02,110.0,19.27,219.0,63.0,19.0,6.75,7.67,5.55,3.0,9.0,5.0,118.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,5on5,9,20859.0,12.94,12.0,303.0,10.02,14.0,40.18,28.0,158.08,142.0,6.11,1.0,84.78,87.0,62.58,74.0,12.59,166.0,38.0,12.0,5.19,4.71,3.04,3.0,8.0,1.0,87.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,4on5,9,2398.0,4.88,4.0,75.0,3.3,1.0,7.63,5.0,37.63,37.0,0.18,0.0,22.32,21.0,11.57,18.0,4.64,28.0,17.0,6.0,0.56,2.02,2.29,0.0,0.0,4.0,24.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,5on4,9,3070.0,0.62,1.0,15.0,0.41,1.0,1.48,0.0,9.52,12.0,1.92,0.0,2.79,2.0,6.43,8.0,0.61,9.0,3.0,0.0,0.23,0.39,0.0,0.0,1.0,0.0,3.0,0.0,0.0
8479394,2025,Carter Hart,VGK,G,other,12,1671.0,3.49,0.0,61.0,2.16,2.0,6.14,1.0,28.99,24.0,0.18,0.0,19.02,25.0,8.16,12.0,3.22,29.0,9.0,2.0,1.38,1.0,1.11,0.0,0.0,0.0,21.0,0.0,0.0
8479394,2025,Carter Hart,VGK,G,all,12,45511.0,34.2,30.0,778.0,27.69,48.0,104.89,71.0,412.94,352.0,13.51,1.0,228.59,221.0,157.38,196.0,32.57,445.0,87.0,35.0,12.97,10.25,10.97,15.0,9.0,6.0,211.0,2.0,1.0
8479394,2025,Carter Hart,VGK,G,5on5,12,36327.0,25.09,25.0,595.0,19.93,38.0,84.49,54.0,319.92,269.0,10.89,0.0,170.59,160.0,126.79,160.0,24.17,344.0,67.0,27.0,9.54,7.99,7.56,12.0,8.0,5.0,157.0,2.0,1.0
8479394,2025,Carter Hart,VGK,G,4on5,12,4031.0,5.52,5.0,115.0,5.47,8.0,13.81,16.0,60.51,55.0,0.36,0.0,37.74,35.0,19.45,20.0,5.08,67.0,11.0,6.0,1.95,1.26,2.31,3.0,1.0,1.0,31.0,0.0,0.0
8479394,2025,Carter Hart,VGK,G,5on4,12,3482.0,0.1,0.0,7.0,0.13,0.0,0.45,0.0,3.51,4.0,2.08,1.0,1.24,1.0,2.98,4.0,0.1,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8476999,2025,Linus Ullmark,OTT,G,other,4,554.0,1.33,0.0,11.0,0.59,1.0,2.03,4.0,8.43,8.0,0.1,0.0,4.5,2.0,2.25,4.0,1.04,4.0,6.0,1.0,0.12,0.82,0.39,0.0,0.0,0.0,0.0,0.0,0.0
