team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DAL,2025,DAL,DAL,Team Level,other,6,0.32,0.58,0.56,1014.0,9.91,1.67,0.84,1.76,0.4,7.39,2.93,1.59,1.67,1.59,9.0,6.0,4.0,19.0,2.0,1.0,0.0,1.0,0.0,9.0,2.0,7.0,13.0,0.0,0.0,10.0,5.0,0.0,4.0,10.0,4.0,1.0,0.52,0.58,0.56,0.0,1.0,1.0,19.0,15.0,15.0,0.0,0.23,0.12,0.12,1.77,1.77,1.7,8.73,3.55,0.49,1.24,0.24,3.53,2.96,3.42,3.55,3.42,9.0,3.0,2.0,14.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,7.0,0.0,0.0,8.0,1.0,1.0,2.0,4.0,1.0,7.0,0.13,0.15,3.27,0.0,0.0,5.0,14.0,12.0,12.0,1.0,0.13,0.0,0.0,3.68,3.68,3.55
DAL,2025,DAL,DAL,Team Level,all,6,0.49,0.52,0.51,24701.0,201.73,18.25,13.92,48.59,6.92,112.88,77.44,17.5,18.27,17.51,186.0,92.0,118.0,396.0,15.0,21.0,1.0,52.0,0.0,98.0,92.0,171.0,263.0,29.0,58.0,189.0,176.0,26.0,79.0,217.0,46.0,15.0,6.09,5.8,6.35,5.0,3.0,7.0,394.76,278.0,279.26,37.0,3.19,4.58,4.58,16.87,16.9,16.47,192.4,18.74,12.57,46.45,6.58,103.33,76.32,17.96,18.81,18.02,182.0,82.0,99.0,363.0,23.0,18.0,4.0,29.0,1.0,109.0,84.0,159.0,241.0,30.0,60.0,196.0,219.0,27.0,83.0,206.0,33.0,25.0,5.2,3.89,9.65,8.0,3.0,12.0,365.16,264.0,265.35,39.0,2.81,3.72,3.72,17.83,17.87,17.5
DAL,2025,DAL,DAL,Team Level,5on5,6,0.51,0.53,0.53,19000.0,153.48,10.85,9.33,40.04,5.29,85.04,62.45,10.5,10.86,10.51,134.0,79.0,94.0,307.0,4.0,16.0,0.0,40.0,0.0,73.0,80.0,130.0,209.0,25.0,50.0,136.0,160.0,23.0,65.0,174.0,33.0,6.0,4.72,4.18,1.94,3.0,1.0,0.0,305.76,213.0,214.26,32.0,1.93,2.97,2.97,9.8,9.84,9.59,138.74,10.61,8.29,35.55,4.82,74.08,57.65,10.03,10.68,10.09,131.0,60.0,78.0,269.0,14.0,15.0,4.0,20.0,0.0,74.0,68.0,117.0,177.0,25.0,50.0,140.0,209.0,20.0,70.0,152.0,26.0,13.0,3.64,3.04,3.93,7.0,3.0,4.0,271.16,191.0,192.35,37.0,1.71,3.67,3.67,8.65,8.69,8.55
DAL,2025,DAL,DAL,Team Level,4on5,6,0.03,0.06,0.07,2698.0,2.94,0.14,0.07,0.34,0.08,0.99,2.36,0.14,0.14,0.14,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,2.0,14.0,11.0,2.0,4.0,4.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.02,0.0,0.0,0.16,0.16,0.16,41.2,4.3,3.61,9.09,1.43,24.56,13.01,4.22,4.3,4.22,38.0,18.0,18.0,74.0,4.0,3.0,0.0,8.0,1.0,28.0,12.0,34.0,52.0,3.0,6.0,32.0,4.0,4.0,10.0,45.0,6.0,5.0,1.16,0.7,2.44,1.0,0.0,3.0,74.0,56.0,56.0,0.0,0.92,0.05,0.05,5.18,5.18,5.08
DAL,2025,DAL,DAL,Team Level,5on4,6,0.95,0.92,0.9,1989.0,35.4,5.59,3.68,6.44,1.14,19.46,9.69,5.27,5.59,5.27,40.0,6.0,19.0,65.0,9.0,4.0,1.0,11.0,0.0,16.0,6.0,31.0,37.0,3.0,6.0,29.0,0.0,1.0,6.0,29.0,9.0,8.0,0.7,1.04,3.85,2.0,1.0,6.0,65.0,46.0,46.0,1.0,1.01,1.48,1.48,5.13,5.13,5.02,3.73,0.28,0.18,0.57,0.09,1.16,2.71,0.28,0.28,0.28,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,2.0,4.0,16.0,5.0,2.0,1.0,5.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,1.0,0.04,0.0,0.0,0.32,0.32,0.32
MTL,2025,MTL,MTL,Team Level,other,12,0.57,0.38,0.42,2841.0,21.18,4.18,1.31,4.05,0.69,11.26,7.51,4.04,4.18,4.04,15.0,14.0,11.0,40.0,2.0,0.0,0.0,2.0,1.0,13.0,11.0,13.0,27.0,0.0,0.0,24.0,5.0,2.0,4.0,15.0,10.0,4.0,0.62,1.18,2.38,0.0,0.0,2.0,40.0,29.0,29.0,2.0,0.36,0.0,0.0,4.54,4.54,4.38,29.26,3.15,2.17,6.12,1.08,18.47,9.01,2.93,3.15,2.93,32.0,8.0,24.0,64.0,1.0,3.0,0.0,3.0,0.0,22.0,11.0,31.0,39.0,2.0,4.0,25.0,7.0,5.0,5.0,28.0,10.0,2.0,1.24,1.19,0.71,0.0,1.0,0.0,64.0,40.0,40.0,1.0,0.62,0.57,0.57,3.19,3.19,2.99
MTL,2025,MTL,MTL,Team Level,all,12,0.52,0.47,0.47,44722.0,343.46,38.69,23.33,81.22,11.51,178.61,128.63,37.11,39.13,37.53,305.0,157.0,195.0,657.0,37.0,29.0,4.0,62.0,3.0,157.0,174.0,268.0,425.0,68.0,143.0,381.0,419.0,57.0,164.0,303.0,117.0,42.0,9.28,14.41,15.0,7.0,12.0,18.0,664.94,462.0,467.42,74.0,5.33,5.83,5.83,38.2,38.54,37.45,386.11,36.08,26.3,95.48,13.34,213.38,142.42,34.55,35.93,34.43,327.0,200.0,215.0,742.0,28.0,39.0,2.0,71.0,2.0,231.0,156.0,299.0,499.0,69.0,145.0,298.0,365.0,64.0,161.0,391.0,104.0,32.0,12.32,12.27,11.48,13.0,9.0,6.0,732.55,527.0,521.32,67.0,5.98,5.67,5.67,36.4,36.21,35.22
MTL,2025,MTL,MTL,Team Level,5on5,12,0.49,0.47,0.47,33075.0,242.05,20.99,15.26,61.36,8.14,126.47,94.79,20.34,21.43,20.76,213.0,114.0,142.0,469.0,24.0,22.0,4.0,45.0,1.0,111.0,124.0,189.0,303.0,65.0,135.0,264.0,398.0,48.0,136.0,234.0,76.0,17.0,7.12,9.32,4.56,7.0,12.0,5.0,476.94,327.0,332.42,63.0,3.19,4.26,4.26,19.92,20.25,19.93,271.41,21.86,17.19,70.84,9.42,146.41,106.28,20.94,21.71,20.82,228.0,144.0,160.0,532.0,17.0,27.0,2.0,55.0,1.0,153.0,119.0,211.0,355.0,58.0,123.0,203.0,333.0,48.0,133.0,283.0,70.0,19.0,8.67,8.28,4.91,11.0,4.0,2.0,522.55,372.0,366.32,60.0,3.55,4.56,4.56,20.84,20.66,20.31
MTL,2025,MTL,MTL,Team Level,4on5,12,0.1,0.09,0.11,4181.0,9.74,1.23,0.57,1.65,0.34,3.06,6.14,1.12,1.23,1.12,11.0,2.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,13.0,2.0,6.0,52.0,12.0,5.0,7.0,9.0,2.0,2.0,0.29,0.28,0.67,0.0,0.0,0.0,14.0,13.0,13.0,6.0,0.13,0.34,0.34,1.03,1.03,1.01,81.61,10.68,6.78,17.96,2.73,47.35,24.5,10.31,10.68,10.31,65.0,45.0,29.0,139.0,10.0,9.0,0.0,13.0,1.0,56.0,21.0,55.0,100.0,7.0,14.0,31.0,4.0,2.0,14.0,78.0,21.0,11.0,2.36,2.45,5.87,2.0,4.0,4.0,139.0,110.0,110.0,0.0,1.78,0.53,0.53,11.93,11.93,11.53
MTL,2025,MTL,MTL,Team Level,5on4,12,0.97,0.95,0.95,4625.0,70.49,12.29,6.2,14.16,2.34,37.82,20.19,11.62,12.29,11.62,66.0,27.0,41.0,134.0,11.0,6.0,0.0,15.0,1.0,32.0,28.0,55.0,82.0,1.0,2.0,41.0,4.0,2.0,17.0,45.0,29.0,19.0,1.26,3.63,7.4,0.0,0.0,11.0,134.0,93.0,93.0,3.0,1.66,1.23,1.23,12.71,12.71,12.12,3.83,0.4,0.15,0.56,0.1,1.15,2.64,0.36,0.4,0.36,2.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,4.0,39.0,21.0,9.0,9.0,2.0,3.0,0.0,0.05,0.35,0.0,0.0,0.0,0.0,7.0,5.0,5.0,6.0,0.04,0.0,0.0,0.43,0.43,0.4
OTT,2025,OTT,OTT,Team Level,other,4,0.15,0.48,0.4,1002.0,8.66,0.89,0.62,1.78,0.39,5.97,2.35,0.85,0.89,0.85,10.0,2.0,8.0,20.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,9.0,11.0,0.0,0.0,15.0,11.0,1.0,2.0,7.0,4.0,1.0,0.15,0.45,0.29,0.0,1.0,0.0,20.0,12.0,12.0,1.0,0.17,0.0,0.0,1.06,1.06,1.01,12.45,4.89,0.72,2.16,0.43,6.15,3.64,4.6,4.89,4.6,10.0,8.0,4.0,22.0,2.0,1.0,0.0,4.0,1.0,4.0,6.0,8.0,16.0,1.0,2.0,11.0,1.0,2.0,4.0,4.0,6.0,8.0,0.12,0.82,3.95,0.0,0.0,2.0,22.0,18.0,18.0,3.0,0.21,0.39,0.39,4.72,4.72,4.58
OTT,2025,OTT,OTT,Team Level,all,4,0.4,0.44,0.43,16433.0,134.03,12.57,8.87,35.05,4.68,69.24,47.59,11.86,12.49,11.79,110.0,68.0,71.0,249.0,5.0,19.0,0.0,16.0,1.0,71.0,66.0,105.0,173.0,21.0,43.0,151.0,173.0,21.0,79.0,134.0,27.0,17.0,4.01,3.61,4.95,2.0,3.0,0.0,245.74,178.0,175.41,39.0,1.98,4.27,4.27,10.28,10.28,10.13,170.32,19.22,11.03,41.63,5.89,89.29,65.94,17.99,19.34,18.12,135.0,98.0,81.0,314.0,11.0,25.0,1.0,32.0,2.0,84.0,79.0,124.0,222.0,24.0,51.0,107.0,163.0,21.0,78.0,169.0,38.0,26.0,5.04,4.7,9.47,4.0,4.0,3.0,319.05,233.0,236.95,32.0,2.44,5.28,5.28,16.38,16.52,16.09
OTT,2025,OTT,OTT,Team Level,5on5,4,0.47,0.46,0.45,12464.0,107.29,9.88,6.89,28.68,3.68,54.43,39.43,9.26,9.81,9.19,82.0,61.0,60.0,203.0,3.0,17.0,0.0,8.0,0.0,58.0,57.0,79.0,140.0,18.0,37.0,106.0,157.0,16.0,63.0,110.0,19.0,14.0,3.22,2.67,4.0,2.0,1.0,0.0,199.74,143.0,140.41,35.0,1.45,3.86,3.86,7.48,7.48,7.39,128.34,11.23,8.23,34.19,4.54,68.62,49.2,10.51,11.35,10.65,100.0,76.0,65.0,241.0,7.0,20.0,0.0,23.0,1.0,71.0,54.0,93.0,169.0,19.0,41.0,69.0,152.0,16.0,66.0,138.0,23.0,15.0,4.24,2.74,4.24,4.0,3.0,0.0,246.05,176.0,179.95,22.0,1.71,3.92,3.92,9.01,9.15,8.93
OTT,2025,OTT,OTT,Team Level,4on5,4,0.14,0.05,0.07,1331.0,1.7,0.31,0.07,0.25,0.04,0.42,0.9,0.31,0.31,0.31,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,11.0,3.0,4.0,3.0,1.0,0.0,1.0,0.05,0.0,0.26,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.01,0.0,0.0,0.33,0.33,0.33,18.63,1.88,1.58,3.93,0.62,11.27,5.73,1.71,1.88,1.71,16.0,9.0,12.0,37.0,2.0,3.0,1.0,4.0,0.0,8.0,8.0,14.0,23.0,1.0,2.0,14.0,1.0,0.0,1.0,18.0,6.0,1.0,0.36,0.75,0.76,0.0,1.0,1.0,37.0,25.0,25.0,0.0,0.41,0.79,0.79,1.49,1.49,1.44
OTT,2025,OTT,OTT,Team Level,5on4,4,0.55,0.63,0.6,1636.0,16.39,1.48,1.3,4.33,0.57,8.42,4.9,1.43,1.48,1.43,16.0,5.0,3.0,24.0,1.0,2.0,0.0,5.0,1.0,7.0,5.0,15.0,20.0,1.0,2.0,19.0,2.0,0.0,11.0,16.0,4.0,1.0,0.6,0.49,0.39,0.0,1.0,0.0,24.0,21.0,21.0,0.0,0.35,0.42,0.42,1.41,1.41,1.4,10.9,1.22,0.49,1.36,0.3,3.25,7.37,1.17,1.22,1.17,9.0,5.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,9.0,14.0,3.0,6.0,13.0,9.0,3.0,7.0,9.0,3.0,2.0,0.32,0.38,0.52,0.0,0.0,0.0,14.0,14.0,14.0,7.0,0.11,0.18,0.18,1.15,1.15,1.15
MIN,2025,MIN,MIN,Team Level,other,11,0.52,0.45,0.48,1810.0,22.58,7.23,1.46,4.04,0.74,10.94,6.6,6.51,7.23,6.51,19.0,12.0,5.0,36.0,9.0,3.0,1.0,3.0,0.0,12.0,4.0,10.0,22.0,0.0,0.0,14.0,4.0,1.0,4.0,12.0,6.0,13.0,0.54,0.82,5.87,1.0,1.0,7.0,36.0,31.0,31.0,2.0,0.41,0.89,0.89,6.75,6.75,6.12,23.78,6.69,1.73,3.85,0.88,14.81,6.04,5.29,6.69,5.29,22.0,12.0,10.0,44.0,7.0,5.0,0.0,2.0,0.0,17.0,3.0,15.0,27.0,1.0,2.0,19.0,8.0,0.0,7.0,17.0,7.0,10.0,0.77,1.0,4.92,1.0,1.0,5.0,44.0,34.0,34.0,1.0,0.51,1.79,1.79,5.41,5.41,4.66
MIN,2025,MIN,MIN,Team Level,all,11,0.45,0.46,0.47,42933.0,353.61,33.14,24.42,85.68,12.07,187.78,137.91,31.4,33.29,31.54,316.0,165.0,162.0,643.0,41.0,35.0,5.0,64.0,1.0,185.0,155.0,275.0,440.0,48.0,96.0,346.0,373.0,46.0,154.0,370.0,68.0,43.0,9.52,8.02,15.61,14.0,10.0,17.0,649.45,481.0,483.92,67.0,5.53,6.61,6.61,32.07,32.25,31.12,395.36,40.08,27.3,95.87,13.5,219.92,149.33,37.26,39.93,37.11,356.0,190.0,211.0,757.0,39.0,47.0,4.0,87.0,0.0,197.0,176.0,317.0,507.0,44.0,90.0,352.0,319.0,53.0,151.0,409.0,93.0,44.0,11.62,11.41,17.05,17.0,7.0,15.0,747.88,546.0,543.56,74.0,6.23,12.03,12.03,34.29,34.13,32.64
MIN,2025,MIN,MIN,Team Level,5on5,11,0.45,0.44,0.45,34015.0,252.88,19.56,15.95,63.92,8.59,133.26,103.72,18.68,19.71,18.82,226.0,119.0,133.0,478.0,25.0,24.0,4.0,44.0,0.0,129.0,123.0,201.0,320.0,42.0,84.0,258.0,358.0,37.0,137.0,271.0,51.0,23.0,6.82,5.99,6.75,11.0,8.0,6.0,484.45,345.0,347.92,64.0,3.31,5.49,5.49,17.39,17.56,17.25,304.88,23.45,19.03,79.42,10.48,169.94,122.68,22.64,23.29,22.49,265.0,160.0,173.0,598.0,18.0,30.0,0.0,72.0,0.0,154.0,151.0,247.0,407.0,38.0,78.0,267.0,297.0,46.0,129.0,340.0,64.0,21.0,9.42,7.88,6.14,14.0,3.0,1.0,588.88,425.0,422.56,66.0,3.94,6.46,6.46,20.93,20.77,20.27
MIN,2025,MIN,MIN,Team Level,4on5,11,0.07,0.1,0.12,3098.0,7.93,0.68,0.42,1.26,0.29,2.76,5.6,0.67,0.68,0.67,10.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,10.0,2.0,4.0,29.0,6.0,3.0,2.0,10.0,0.0,1.0,0.36,0.0,0.32,0.0,0.0,1.0,12.0,11.0,11.0,1.0,0.1,0.0,0.0,0.78,0.78,0.77,62.26,9.72,6.38,12.08,2.03,33.66,17.12,9.11,9.72,9.11,64.0,17.0,25.0,106.0,14.0,12.0,4.0,13.0,0.0,26.0,16.0,50.0,67.0,3.0,6.0,36.0,1.0,2.0,10.0,46.0,22.0,13.0,1.21,2.53,5.99,2.0,3.0,9.0,106.0,81.0,81.0,2.0,1.74,3.77,3.77,7.69,7.69,7.46
MIN,2025,MIN,MIN,Team Level,5on4,11,0.96,0.93,0.94,4010.0,70.22,5.68,6.58,16.45,2.46,40.83,22.0,5.54,5.68,5.54,61.0,33.0,23.0,117.0,6.0,8.0,0.0,17.0,1.0,40.0,22.0,55.0,88.0,4.0,8.0,45.0,5.0,5.0,11.0,77.0,11.0,6.0,1.8,1.21,2.66,2.0,1.0,3.0,117.0,94.0,94.0,0.0,1.71,0.22,0.22,7.16,7.16,6.97,4.44,0.22,0.15,0.52,0.12,1.51,3.48,0.22,0.22,0.22,5.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,2.0,4.0,30.0,13.0,5.0,5.0,6.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,5.0,0.04,0.0,0.0,0.26,0.26,0.26
BOS,2025,BOS,BOS,Team Level,other,6,0.34,0.39,0.39,945.0,11.72,2.81,0.69,2.23,0.44,6.4,3.43,2.8,2.81,2.8,8.0,8.0,7.0,23.0,1.0,0.0,0.0,1.0,0.0,7.0,7.0,7.0,15.0,0.0,0.0,8.0,6.0,0.0,4.0,12.0,0.0,4.0,0.55,0.0,2.26,0.0,0.0,1.0,23.0,16.0,16.0,2.0,0.19,0.0,0.0,3.0,3.0,2.98,17.82,5.47,1.46,3.02,0.57,9.4,5.07,5.2,5.47,5.2,16.0,9.0,11.0,36.0,4.0,2.0,0.0,4.0,0.0,11.0,4.0,12.0,21.0,1.0,2.0,10.0,5.0,1.0,6.0,13.0,3.0,9.0,0.52,0.37,4.58,0.0,0.0,4.0,36.0,25.0,25.0,2.0,0.37,0.49,0.49,5.36,5.36,5.1
BOS,2025,BOS,BOS,Team Level,all,6,0.43,0.45,0.44,22154.0,173.06,16.07,11.31,41.41,6.1,94.21,67.89,15.65,16.09,15.66,151.0,86.0,97.0,334.0,12.0,17.0,2.0,22.0,2.0,100.0,84.0,139.0,225.0,36.0,81.0,200.0,233.0,28.0,105.0,183.0,36.0,18.0,5.38,4.6,6.09,4.0,6.0,2.0,328.1,237.0,234.13,46.0,2.55,2.88,2.88,15.74,15.69,15.47,221.63,21.68,16.52,53.32,7.34,121.32,82.82,20.62,21.95,20.89,190.0,113.0,105.0,408.0,20.0,23.0,1.0,61.0,1.0,119.0,79.0,170.0,283.0,31.0,63.0,156.0,198.0,22.0,92.0,224.0,59.0,20.0,6.54,7.39,7.75,9.0,5.0,6.0,415.08,303.0,307.53,35.0,3.78,3.2,3.2,22.25,22.49,21.7
BOS,2025,BOS,BOS,Team Level,5on5,6,0.48,0.47,0.46,16841.0,128.55,10.53,8.0,32.98,4.53,68.28,50.69,10.22,10.55,10.23,110.0,65.0,75.0,250.0,9.0,14.0,1.0,17.0,1.0,75.0,59.0,101.0,166.0,31.0,71.0,142.0,217.0,21.0,85.0,139.0,25.0,11.0,4.2,3.45,2.88,4.0,5.0,0.0,244.1,175.0,172.13,36.0,1.66,2.46,2.46,9.73,9.68,9.56,150.57,11.35,10.07,38.98,5.08,82.54,58.99,10.95,11.62,11.22,125.0,82.0,77.0,284.0,15.0,14.0,1.0,43.0,1.0,78.0,56.0,110.0,192.0,29.0,59.0,116.0,176.0,18.0,74.0,163.0,37.0,7.0,4.85,4.67,1.83,9.0,4.0,2.0,291.08,207.0,211.53,33.0,2.1,1.94,1.94,11.51,11.75,11.56
BOS,2025,BOS,BOS,Team Level,4on5,6,0.12,0.14,0.14,2756.0,7.59,0.62,0.35,1.13,0.21,2.49,5.2,0.61,0.62,0.61,10.0,0.0,3.0,13.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,9.0,9.0,1.0,2.0,36.0,7.0,6.0,9.0,7.0,3.0,0.0,0.24,0.38,0.0,0.0,1.0,0.0,13.0,10.0,10.0,8.0,0.08,0.13,0.13,0.57,0.57,0.57,47.73,4.46,4.7,10.6,1.54,27.68,15.03,4.08,4.46,4.08,44.0,20.0,17.0,81.0,1.0,7.0,0.0,14.0,0.0,27.0,15.0,43.0,63.0,1.0,2.0,19.0,5.0,2.0,11.0,43.0,17.0,4.0,1.04,2.08,1.34,0.0,1.0,0.0,81.0,64.0,64.0,0.0,1.24,0.78,0.78,4.93,4.93,4.59
BOS,2025,BOS,BOS,Team Level,5on4,6,0.84,0.87,0.84,1612.0,25.2,2.11,2.28,5.08,0.92,17.04,8.57,2.02,2.11,2.02,23.0,13.0,12.0,48.0,1.0,2.0,0.0,4.0,1.0,16.0,12.0,22.0,35.0,4.0,8.0,14.0,3.0,1.0,7.0,25.0,8.0,3.0,0.39,0.78,0.95,0.0,0.0,1.0,48.0,36.0,36.0,0.0,0.62,0.3,0.3,2.43,2.43,2.36,5.51,0.4,0.28,0.73,0.15,1.71,3.73,0.39,0.4,0.39,5.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,7.0,0.0,0.0,11.0,12.0,1.0,1.0,5.0,2.0,0.0,0.13,0.27,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.06,0.0,0.0,0.46,0.46,0.46
PIT,2025,PIT,PIT,Team Level,other,6,0.42,0.52,0.45,1266.0,12.99,3.17,0.71,2.33,0.4,6.21,5.18,2.93,3.17,2.93,13.0,5.0,9.0,27.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,15.0,1.0,2.0,18.0,5.0,1.0,5.0,10.0,3.0,5.0,0.32,0.39,2.47,0.0,1.0,2.0,27.0,18.0,18.0,4.0,0.2,0.0,0.0,3.37,3.37,3.1,16.08,4.45,1.06,3.06,0.54,8.2,4.68,4.43,4.45,4.43,17.0,5.0,3.0,25.0,2.0,0.0,0.0,2.0,0.0,11.0,7.0,15.0,20.0,1.0,2.0,10.0,8.0,1.0,2.0,13.0,5.0,4.0,0.52,0.64,3.29,0.0,0.0,2.0,25.0,22.0,22.0,1.0,0.3,0.0,0.0,4.75,4.75,4.72
PIT,2025,PIT,PIT,Team Level,all,6,0.51,0.56,0.55,22652.0,205.79,18.57,13.83,52.42,7.31,113.77,81.09,17.84,18.76,18.03,159.0,128.0,107.0,394.0,11.0,26.0,1.0,32.0,0.0,108.0,110.0,148.0,276.0,31.0,60.0,165.0,199.0,25.0,94.0,232.0,33.0,22.0,6.37,4.29,7.91,3.0,2.0,6.0,396.62,287.0,289.94,43.0,3.09,3.12,3.12,18.55,18.73,18.19,170.32,17.94,11.1,41.72,5.75,88.6,65.89,17.38,17.81,17.25,155.0,76.0,78.0,309.0,16.0,15.0,0.0,40.0,1.0,75.0,84.0,139.0,215.0,34.0,68.0,183.0,248.0,28.0,93.0,176.0,30.0,25.0,4.91,3.97,9.06,10.0,3.0,3.0,306.96,231.0,229.51,41.0,2.49,3.76,3.82,16.61,16.59,16.31
PIT,2025,PIT,PIT,Team Level,5on5,6,0.53,0.58,0.58,17758.0,160.18,11.4,10.36,43.07,5.74,88.85,64.58,11.06,11.59,11.25,123.0,101.0,87.0,311.0,5.0,20.0,1.0,28.0,0.0,86.0,85.0,118.0,219.0,28.0,54.0,112.0,184.0,21.0,82.0,189.0,25.0,10.0,5.33,3.34,2.73,3.0,1.0,1.0,313.62,224.0,226.94,37.0,2.16,2.75,2.75,10.81,11.0,10.88,120.18,10.05,7.55,31.4,4.12,63.06,47.81,9.76,9.92,9.64,106.0,58.0,58.0,222.0,11.0,13.0,0.0,25.0,1.0,48.0,66.0,95.0,153.0,33.0,66.0,136.0,231.0,24.0,81.0,130.0,19.0,15.0,3.57,2.54,3.95,10.0,1.0,0.0,219.96,164.0,162.51,37.0,1.56,2.91,2.97,8.65,8.63,8.52
PIT,2025,PIT,PIT,Team Level,4on5,6,0.07,0.08,0.11,1701.0,3.16,0.15,0.14,0.54,0.1,1.0,2.06,0.15,0.15,0.15,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,2.0,16.0,8.0,3.0,2.0,3.0,1.0,0.0,0.07,0.09,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.03,0.0,0.0,0.18,0.18,0.18,24.19,1.92,2.01,5.86,0.81,14.71,7.7,1.79,1.92,1.79,21.0,12.0,15.0,48.0,2.0,1.0,0.0,10.0,0.0,16.0,4.0,19.0,31.0,0.0,0.0,19.0,7.0,1.0,7.0,26.0,4.0,3.0,0.62,0.46,0.83,0.0,1.0,1.0,48.0,33.0,33.0,0.0,0.52,0.34,0.34,2.1,2.1,1.96
