team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BUF,2025,BUF,BUF,Team Level,other,11,0.53,0.59,0.56,2426.0,30.65,6.79,2.34,5.62,1.03,17.82,9.38,6.48,6.79,6.48,29.0,14.0,24.0,67.0,4.0,2.0,0.0,6.0,0.0,20.0,11.0,25.0,39.0,3.0,6.0,19.0,10.0,5.0,9.0,26.0,7.0,10.0,1.18,0.76,4.86,0.0,0.0,4.0,67.0,43.0,43.0,3.0,0.61,0.49,0.49,6.92,6.92,6.62,24.79,6.1,1.51,4.52,0.86,13.25,7.75,5.97,6.1,5.97,19.0,15.0,12.0,46.0,3.0,0.0,0.0,2.0,0.0,15.0,14.0,16.0,31.0,0.0,0.0,21.0,7.0,1.0,6.0,21.0,5.0,8.0,0.91,0.55,4.65,0.0,0.0,3.0,46.0,34.0,34.0,3.0,0.42,0.0,0.0,6.52,6.52,6.38
BUF,2025,BUF,BUF,Team Level,all,11,0.52,0.52,0.53,40154.0,379.94,38.34,27.59,91.59,12.67,205.06,140.74,36.49,38.52,36.69,321.0,195.0,186.0,702.0,33.0,41.0,1.0,86.0,2.0,206.0,148.0,288.0,483.0,60.0,123.0,279.0,335.0,47.0,158.0,370.0,110.0,36.0,11.43,13.24,13.67,15.0,9.0,9.0,704.09,516.0,518.06,58.0,6.27,6.34,6.34,38.27,38.44,37.26,334.12,35.84,22.31,79.82,11.48,176.4,126.15,34.6,36.14,34.88,300.0,152.0,184.0,636.0,33.0,30.0,5.0,54.0,4.0,177.0,154.0,267.0,419.0,60.0,131.0,362.0,352.0,49.0,168.0,313.0,100.0,39.0,9.31,12.43,14.1,6.0,14.0,13.0,633.35,452.0,451.49,72.0,5.09,5.51,5.51,35.41,35.62,34.82
BUF,2025,BUF,BUF,Team Level,5on5,11,0.5,0.52,0.53,29967.0,264.43,21.31,17.73,67.93,8.98,142.37,102.68,20.36,21.49,20.56,216.0,145.0,138.0,499.0,23.0,29.0,1.0,61.0,2.0,141.0,105.0,193.0,338.0,54.0,111.0,199.0,294.0,36.0,124.0,274.0,71.0,16.0,8.33,8.68,4.3,14.0,6.0,3.0,501.09,361.0,363.06,52.0,3.69,4.65,4.65,20.35,20.52,20.17,240.05,20.96,15.33,61.81,8.33,125.92,92.66,20.15,21.26,20.43,212.0,113.0,135.0,460.0,22.0,25.0,4.0,43.0,2.0,129.0,104.0,190.0,303.0,55.0,121.0,258.0,329.0,39.0,140.0,239.0,66.0,20.0,7.26,8.39,5.31,6.0,13.0,3.0,457.35,325.0,324.49,59.0,3.21,4.56,4.56,19.6,19.8,19.43
BUF,2025,BUF,BUF,Team Level,4on5,11,0.09,0.1,0.13,3598.0,9.34,0.79,0.44,1.29,0.26,2.85,6.37,0.76,0.79,0.76,7.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,7.0,12.0,0.0,0.0,28.0,25.0,3.0,5.0,7.0,5.0,0.0,0.17,0.62,0.0,0.0,0.0,0.0,12.0,12.0,12.0,3.0,0.1,0.0,0.0,0.89,0.89,0.85,57.54,7.93,4.99,11.7,1.96,33.67,17.74,7.64,7.93,7.64,54.0,24.0,34.0,112.0,7.0,4.0,0.0,9.0,2.0,31.0,25.0,47.0,71.0,4.0,8.0,30.0,4.0,1.0,11.0,42.0,25.0,11.0,0.84,2.95,4.15,0.0,0.0,7.0,112.0,78.0,78.0,0.0,1.34,0.82,0.82,8.45,8.45,8.18
BUF,2025,BUF,BUF,Team Level,5on4,11,0.92,0.87,0.87,4163.0,75.53,9.45,7.08,16.76,2.4,42.01,22.3,8.9,9.45,8.9,69.0,31.0,24.0,124.0,6.0,10.0,0.0,19.0,0.0,42.0,23.0,63.0,94.0,3.0,6.0,33.0,6.0,3.0,20.0,63.0,27.0,10.0,1.75,3.18,4.51,1.0,3.0,2.0,124.0,100.0,100.0,0.0,1.86,1.21,1.21,10.1,10.1,9.62,11.74,0.85,0.48,1.79,0.32,3.56,8.0,0.84,0.85,0.84,15.0,0.0,3.0,18.0,1.0,1.0,1.0,0.0,0.0,2.0,11.0,14.0,14.0,1.0,2.0,53.0,12.0,8.0,11.0,11.0,4.0,0.0,0.3,0.55,0.0,0.0,1.0,0.0,18.0,15.0,15.0,10.0,0.12,0.13,0.13,0.84,0.84,0.83
ANA,2025,ANA,ANA,Team Level,other,12,0.64,0.7,0.75,2031.0,27.08,6.0,2.0,5.17,0.96,16.72,7.14,5.69,6.0,5.69,21.0,17.0,16.0,54.0,4.0,3.0,0.0,1.0,0.0,21.0,9.0,17.0,34.0,1.0,2.0,21.0,10.0,1.0,5.0,21.0,8.0,9.0,0.96,0.93,4.12,0.0,0.0,4.0,54.0,38.0,38.0,3.0,0.58,0.65,0.65,5.93,5.93,5.63,9.51,3.37,0.61,1.45,0.3,4.37,2.91,3.21,3.37,3.21,7.0,6.0,10.0,23.0,3.0,0.0,0.0,2.0,0.0,3.0,5.0,4.0,10.0,1.0,2.0,14.0,6.0,1.0,10.0,4.0,4.0,5.0,0.14,0.53,2.7,0.0,0.0,3.0,23.0,13.0,13.0,6.0,0.19,0.0,0.0,3.55,3.55,3.38
ANA,2025,ANA,ANA,Team Level,all,12,0.52,0.56,0.55,43599.0,427.08,40.25,28.27,107.7,14.8,232.15,162.83,38.6,39.97,38.34,380.0,206.0,205.0,791.0,39.0,53.0,10.0,89.0,2.0,200.0,203.0,341.0,547.0,35.0,73.0,331.0,429.0,50.0,174.0,444.0,92.0,50.0,12.8,10.63,16.82,9.0,12.0,18.0,778.57,586.0,580.14,82.0,6.3,11.25,11.25,35.3,35.19,34.42,354.21,37.79,23.7,84.93,12.04,181.87,136.68,35.96,38.32,36.44,316.0,161.0,152.0,629.0,42.0,39.0,9.0,67.0,1.0,156.0,172.0,274.0,435.0,42.0,92.0,377.0,380.0,65.0,207.0,328.0,100.0,49.0,9.04,12.2,16.55,9.0,17.0,16.0,638.72,477.0,483.49,99.0,5.28,9.01,9.01,34.06,34.48,33.53
ANA,2025,ANA,ANA,Team Level,5on5,12,0.51,0.55,0.54,35402.0,333.53,25.82,21.01,88.51,11.68,177.22,132.76,24.98,25.54,24.72,294.0,163.0,162.0,619.0,22.0,40.0,6.0,74.0,1.0,148.0,172.0,272.0,435.0,32.0,67.0,254.0,415.0,44.0,155.0,361.0,67.0,29.0,9.95,7.84,8.03,7.0,8.0,7.0,606.57,457.0,451.14,77.0,4.37,7.94,7.94,22.25,22.14,21.9,283.77,24.45,17.62,71.73,9.71,146.15,113.34,23.37,24.99,23.85,254.0,129.0,129.0,512.0,28.0,28.0,7.0,55.0,0.0,126.0,146.0,226.0,355.0,37.0,80.0,299.0,367.0,52.0,184.0,281.0,72.0,30.0,7.41,8.84,8.21,7.0,14.0,7.0,521.72,383.0,389.49,87.0,3.67,6.05,6.05,22.07,22.5,22.08
ANA,2025,ANA,ANA,Team Level,4on5,12,0.04,0.11,0.1,2710.0,5.74,0.35,0.25,0.74,0.18,1.98,4.5,0.35,0.35,0.35,7.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,7.0,1.0,2.0,24.0,1.0,3.0,3.0,7.0,0.0,1.0,0.14,0.0,0.21,0.0,0.0,1.0,10.0,8.0,8.0,2.0,0.05,0.0,0.0,0.41,0.41,0.4,51.93,9.15,4.97,10.33,1.77,28.56,14.22,8.56,9.15,8.56,46.0,23.0,11.0,80.0,9.0,11.0,2.0,8.0,1.0,25.0,15.0,37.0,60.0,2.0,4.0,30.0,2.0,3.0,8.0,35.0,20.0,14.0,1.25,2.26,5.64,1.0,2.0,6.0,80.0,69.0,69.0,1.0,1.31,2.96,2.96,7.49,7.49,7.14
ANA,2025,ANA,ANA,Team Level,5on4,12,0.91,0.89,0.87,3456.0,60.72,8.08,5.01,13.27,1.98,36.24,18.43,7.58,8.08,7.58,58.0,25.0,25.0,108.0,12.0,10.0,4.0,14.0,0.0,30.0,17.0,46.0,71.0,1.0,2.0,32.0,3.0,2.0,11.0,55.0,17.0,11.0,1.75,1.86,4.47,2.0,4.0,6.0,108.0,83.0,83.0,0.0,1.29,2.66,2.66,6.71,6.71,6.48,9.0,0.82,0.49,1.42,0.26,2.79,6.22,0.82,0.82,0.82,9.0,3.0,2.0,14.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,7.0,10.0,2.0,6.0,34.0,5.0,9.0,5.0,8.0,4.0,0.0,0.24,0.58,0.0,1.0,1.0,0.0,14.0,12.0,12.0,5.0,0.11,0.0,0.0,0.94,0.94,0.93
